202405130903	1715590980.000	500.000
115.0	229.0	2.160812
241.0	353.0	0.000000
365.0	479.0	-2.335775
491.0	603.0	0.000000
615.0	729.0	2.160879
741.0	853.0	0.000000
865.0	979.0	-2.335610
991.0	1103.0	0.000000
1115.0	1229.0	2.160945
1241.0	1353.0	0.000000
1365.0	1479.0	-2.335717
1491.0	1603.0	0.000000
1615.0	1729.0	2.161315
1741.0	1853.0	0.000000
1865.0	1979.0	-2.335400
1991.0	2103.0	0.000000
2115.0	2229.0	2.161390
2241.0	2353.0	0.000000
2365.0	2479.0	-2.335099
2491.0	2603.0	0.000000
2615.0	2729.0	2.161703
2741.0	2853.0	0.000000
2865.0	2979.0	-2.335121
2991.0	3103.0	0.000000
3115.0	3229.0	2.161534
3241.0	3353.0	0.000000
3365.0	3479.0	-2.335584
3491.0	3603.0	0.000000
3615.0	3729.0	2.161364
3741.0	3853.0	0.000000
3865.0	3979.0	-2.335252
3991.0	4103.0	0.000000
4115.0	4229.0	2.161170
4241.0	4353.0	0.000000
4365.0	4479.0	-2.335618
4491.0	4603.0	0.000000
4615.0	4729.0	2.160952
4741.0	4853.0	0.000000
4865.0	4979.0	-2.335773
4991.0	5103.0	0.000000
5115.0	5229.0	2.160841
5241.0	5353.0	0.000000
5365.0	5479.0	-2.335865
5491.0	5603.0	0.000000
5615.0	5729.0	2.160899
5741.0	5853.0	0.000000
5865.0	5979.0	-2.335376
5991.0	6103.0	0.000000
6115.0	6229.0	2.160899
6241.0	6353.0	0.000000
6365.0	6479.0	-2.335446
6491.0	6603.0	0.000000
6615.0	6729.0	2.161313
6741.0	6853.0	0.000000
6865.0	6979.0	-2.335378
6991.0	7103.0	0.000000
7115.0	7229.0	2.161224
7241.0	7353.0	0.000000
7365.0	7479.0	-2.335482
7491.0	7603.0	0.000000
7615.0	7729.0	2.161487
7741.0	7853.0	0.000000
7865.0	7979.0	-2.335417
7991.0	8103.0	0.000000
8115.0	8229.0	2.161035
8241.0	8353.0	0.000000
8365.0	8479.0	-2.335494
8491.0	8603.0	0.000000
8615.0	8729.0	2.160758
8741.0	8853.0	0.000000
8865.0	8979.0	-2.335969
8991.0	9103.0	0.000000
9115.0	9229.0	2.161076
9241.0	9353.0	0.000000
9365.0	9479.0	-2.335873
9491.0	9603.0	0.000000
9615.0	9729.0	2.160933
9741.0	9853.0	0.000000
9865.0	9979.0	-2.335800
9991.0	10103.0	0.000000
10115.0	10229.0	2.160625
10241.0	10353.0	0.000000
10365.0	10479.0	-2.335361
10491.0	10603.0	0.000000
10615.0	10729.0	2.161468
10741.0	10853.0	0.000000
10865.0	10979.0	-2.334993
10991.0	11103.0	0.000000
11115.0	11229.0	2.161607
11241.0	11353.0	0.000000
11365.0	11479.0	-2.335002
11491.0	11603.0	0.000000
11615.0	11729.0	2.161515
11741.0	11853.0	0.000000
11865.0	11979.0	-2.334956
11991.0	12103.0	0.000000
12115.0	12229.0	2.161478
12241.0	12353.0	0.000000
12365.0	12479.0	-2.335499
12491.0	12603.0	0.000000
12615.0	12729.0	2.161025
12741.0	12853.0	0.000000
12865.0	12979.0	-2.335691
12991.0	13103.0	0.000000
13115.0	13229.0	2.161134
13241.0	13353.0	0.000000
13365.0	13479.0	-2.335584
13491.0	13603.0	0.000000
13615.0	13729.0	2.161204
13741.0	13853.0	0.000000
13865.0	13979.0	-2.335783
13991.0	14103.0	0.000000
14115.0	14229.0	2.161163
14241.0	14353.0	0.000000
14365.0	14479.0	-2.335531
14491.0	14603.0	0.000000
14615.0	14729.0	2.161093
14741.0	14853.0	0.000000
14865.0	14979.0	-2.335473
14991.0	15103.0	0.000000
15115.0	15229.0	2.161369
15241.0	15353.0	0.000000
15365.0	15479.0	-2.335347
15491.0	15603.0	0.000000
15615.0	15729.0	2.161505
15741.0	15853.0	0.000000
15865.0	15979.0	-2.335541
15991.0	16103.0	0.000000
16115.0	16229.0	2.161185
16241.0	16353.0	0.000000
16365.0	16479.0	-2.335666
16491.0	16603.0	0.000000
16615.0	16729.0	2.160703
16741.0	16853.0	0.000000
16865.0	16979.0	-2.336037
16991.0	17103.0	0.000000
17115.0	17229.0	2.160426
17241.0	17353.0	0.000000
17365.0	17479.0	-2.336318
17491.0	17603.0	0.000000
17615.0	17729.0	2.160353
17741.0	17853.0	0.000000
